ID,Timestamp,Conversation,Question bookmark,Speaker,Utterance,[parent] Read material content,[parent] Scaffolding (+orange) (+blue),[parent] Extended comments/questions (math) (+blue),[parent] Extended comments/questions (literacy),[parent] Extended comments/questions (personal),[parent] Check child's needs,[parent] Redirect child attention,[parent] Encourage child engagement,[child] comment/question/response (math) (+blue) (+green),[child] neutral response,[child] correct response,[child] incorrect response,Please fill in the greatest numeral magnitude involved in the utterance.,<4,4 - 10 (inclusive),> 10,Structured Counting,Cardinality ,Counting subsets,Set Comparison ,Number Order ,Story Problem (addition),Story Problem (subtraction),Math language,Promotion of Independence,Prompt after error,Correction/Disaffirmation,Affirmation,Inquiry of information,Hint,Modeling,Instruction,Re-representation,Explanation,Physical support,
1,23:17,A2-1,,Robot,"It's great to see you. It's so nice to meet you. I'm looking forward to spending time with you. My friends at UW-Madison prepared a booklet, so I can teach you what I can do. One thing you need to know about me is that I sometimes have difficulty understanding what you say. So the best way to communicate with me is through some special tags. Can you first show me the special tag on the back of the book named ""Read with Misty""?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,23:53,A2-1,,Parent,Can you show her? Am I supposed to help? Show her this special tag? Can you show her that? How would you show her?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,24:02:00,A2-1,,Child,Maybe like this,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,24:06:00,A2-1,,Parent,"I think you have to probably hold it still, right? Do you think that works?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,24:12:00,A2-1,,Child,Oh no. [mubling],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,24:25:00,A2-1,,Parent,You're gonna grab it?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,24:27:00,A2-1,,Child,Oh no. It seems to keep looking at me.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,24:41:00,A2-1,,Robot,Perfect. Now you know how to let me know which book you want to read. You can start reading the book named read with Misty to me.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,24:54:00,A2-1,,Parent,"Read with Misty. This is misty. Misty loves to read books with friends. Misty has a thought to share, show this tag to Misty now. Do you want to help me, or do you want me to do it?",,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,25:19:00,A2-1,,Child,You can just do it. [mubling],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,25:19:00,A2-1,,Researcher,A little distance until it has the green light that means it got it.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,25:23:00,A2-1,,Child,Is she confused? [mubling],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,25:41:00,A2-1,,Parent,[mubling],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,25:46:00,A2-1,,Child,[mubling],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,26:16:00,A2-1,,Robot,How many cats can you see on the bottom of this page?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,26:21:00,A2-1,,Child,1,,,,,,,,,1,,,1,1,1,,,,1,,,,,,,,,,,,,,,,,,
1,26:22:00,A2-1,,Parent,How many cats can you see on the bottom this page?,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,26:24:00,A2-1,,Child,"1, 2, 3",,,,,,,,,1,,1,,3,1,,,1,,,,,,,,,,,,,,,,,,,
1,26:29:00,A2-1,,Parent,"3. To hear Misty's response to the question, press answer, press the left front bumper now. Can you press the answer?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,26:38:00,A2-1,,Child,"No, you do it.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,26:39:00,A2-1,,Parent,Okay.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,26:42:00,A2-1,,Researcher,A little harder.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,26:50:00,A2-1,,Child,[mubling] So creepy. Wake up. I will probably touch him.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,27:33:00,A2-1,,Researcher,Sorry he's not supposed to be like this.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,27:37:00,A2-1,,Parent,I don't know how to get it,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,27:40:00,A2-1,,Child,"oh wake up, wake up, wake up, hello [laughing]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,27:49:00,A2-1,,Child,"I guess, ummm...",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,27:55:00,A2-1,,Parent,[discuss robot's fan] It's like a shadow like from a window,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
