zfh,Timestamp,Conversation,Question bookmark,Speaker,Utterance,[parent] Read material content,[parent] Scaffolding (+orange) (+blue),[parent] Extended comments/questions (math) (+blue),[parent] Extended comments/questions (literacy),[parent] Extended comments/questions (personal),[parent] Check child's needs,[parent] Redirect child attention,[parent] Encourage child engagement,[child] comment/question/response (math) (+blue) (+green),[child] neutral response,[child] correct response,[child] incorrect response,Please fill in the greatest numeral magnitude involved in the utterance.,<4,4 - 10 (inclusive),> 10,Structured Counting,Cardinality ,Counting subsets,Set Comparison ,Number Order ,Story Problem (addition),Story Problem (subtraction),Math language,Promotion of Independence,Prompt after error,Correction/Disaffirmation,Affirmation,Inquiry of information,Hint,Modeling,Instruction,Re-representation,Explanation,Physical support,,,,,,,,,,,,,,
2,44:36:00,A2-1,,Robot,Hi it's so nice to meet you. I'm looking forward to spending time with you. My friends at UW Madison prepared a booklet so I can teach you what I can do. One thing you need to know about me is that I sometimes have difficulty understanding what you say. So the best way to communicate with me is through some special tags. can you first show me the special tag on the back of the book named read with Misty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,45:13:00,A2-1,,Child,first okay good. Hi.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,45:24:00,A2-1,,Robot,Perfect now you know how to let me know which book you want to read. You can start reading the book named really with Misty to me.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,45:32:00,A2-1,,Child,Read with Misty.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,45:45:00,A2-1,,Robot,How many cats can you see on the bottom of this page?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,45:49:00,A2-1,,Child,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,45:53:00,A2-1,,Researcher,Yep I got it.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,45:55:00,A2-1,,Robot,I can see three cats there.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,45:58:00,A2-1,,Child,3 cats,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,46:06:00,A2-1,,Parent,Misty has another thought to share show this tag to Misty now,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,46:12:00,A2-1,,Child,So where would you put the tag again?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,46:17:00,A2-1,,Robot,Would you like to start reading together?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,46:19:00,A2-1,,Child,Yeah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,46:22:00,A2-1,,Parent,To tell Misty to repeat press the right front bumper now.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,46:32:00,A2-1,,Robot,Would you like to start reading together?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,46:35:00,A2-1,,Child,Yeah.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,46:36:00,A2-1,,Parent,"To tell misty yes, press the left front bumper now.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,46:43:00,A2-1,,Researcher,Again. Did it turn green. Yes.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,46:48:00,A2-1,,Robot,"Great. You can check out how to pause, continue and quit on page number eight. Now that you know how to interact with me we can read another book. What book would you like to read? You can show me the tag on its back when you've decided.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,47:10:00,A2-2,,Child,When you read it you need to show the tag.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,47:14:00,A2-2,,Robot,You want to read Pete the cat and the perfect pizza party?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,47:18:00,A2-2,,Parent & Child,Yes.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,47:22:00,A2-2,,Robot,We can begin reading now.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,47:30:00,A2-2,,Researcher,So I would recommend to read naturally as you would usually read and then scan the tag.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,47:35:00,A2-2,L1-1,Robot,Can you count the number of trees?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,47:37:00,A2-2,L1-1,Child,"The number of the trees, mom.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,47:43:00,A2-2,,Researcher,You can read on the table so you don't need to show it to Misty. So what I recommend is to read naturally and then when you encounter tag or you would get to some point you can show the tag to Misty when you want this to provide her questions or comments. We want to know Missy stop showing the tag to Misty and recommend to read you as usual as possible.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,48:09:00,A2-2,,Parent,Okay.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,48:11:00,A2-2,,Child,Like that.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,48:13:00,A2-2,,Parent,"Pete the cat loves pizza. Pete the Cat Loves parties too. Pete had an idea of what he could do. He would have the perfect pizza party. You are invited to Pete's Pizza party fun, games, bring your own swimming suit and music",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,48:42:00,A2-2,L1-2,Robot,Can you count the number of animals having whiskers on the page?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,48:46:00,A2-2,L1-2,Child,"How many whiskers are on the page? 1, 2, 3, 4, 5, 6, 7, 8, 9, 10.",,,,,,,,,1,,1,,10,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,49:13:00,A2-2,L1-2,Parent,Do I press yes?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,49:16:00,A2-2,L1-2,Robot,Between the duck and Pete only Pete has whiskers.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,49:22:00,A2-2,L1-2,Researcher,If you forgot the question you can repeat.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,49:30:00,A2-2,L1-2,Robot,Can you count the number of animals having whiskers on the page?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,49:35:00,A2-2,L1-2,Parent,It's only the cat. The duck does not have whiskers. I've never seen a duck with whiskers.,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
2,49:46:00,A2-2,L1-2,Child,Ducks.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,49:48:00,A2-2,,Parent,Pete's friends all arrived. It was time to build the perfect pizza to get perfect pizza together. That will make the pizza even better. Pete thought the perfect pizza would be pepperoni with extra cheese. You like your pizza with extra cheese?,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,50:17:00,A2-2,L2-1,Robot,Can you count the number of pepperonis Pete has on the pizza so far?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,50:23:00,A2-2,L2-1,Child,"1, 2, 3, 4, 5, 6, 7",,,,,,,,,1,,1,,7,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,50:34:00,A2-2,L2-1,Robot,I counted 7 pepperoni slices. I love pepperoni.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,50:39:00,A2-2,L2-1,Child,Me too! Pepperoni pizza.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
