ID,Timestamp,Conversation,Question bookmark,Speaker,Utterance,[parent] Read material content,[parent] Scaffolding (+orange) (+blue),[parent] Extended comments/questions (math) (+blue),[parent] Extended comments/questions (literacy),[parent] Extended comments/questions (personal),[parent] Check child's needs,[parent] Redirect child attention,[parent] Encourage child engagement,[child] comment/question/response (math) (+blue) (+green),[child] neutral response,[child] correct response,[child] incorrect response,Please fill in the greatest numeral magnitude involved in the utterance.,<4,4 - 10 (inclusive),> 10,Structured Counting,Cardinality ,Counting subsets,Set Comparison ,Number Order ,Story Problem (addition),Story Problem (subtraction),Math language,Promotion of Independence,Prompt after error,Correction/Disaffirmation,Affirmation,Inquiry of information,Hint,Modeling,Instruction,Re-representation,Explanation,Physical support,,,,,,,,,,,,,,
5,48:19:00,A2-3,L1-1,Robot,Can you count the number of family members wearing skirts?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,48:23:00,A2-3,L1-1,Parent,How many family members are wearing skirts?,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
5,48:26:00,A2-3,L1-1,Child,1,,,,,,,,,1,,1,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,48:26:00,A2-3,L1-1,Parent,"You got it. So then what do we do, we check for her answer. Okay, can you press this button again? See if our answers right.",,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
5,48:37:00,A2-3,L1-1,Robot,1. Only mom is wearing a skirt. The rest of the family is wearing pants.,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,53:02:00,A2-3,L2-2,Robot,Can you count how many sticker rings grandma has on her fingers?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,53:11:00,A2-3,L2-2,Parent,"Alright we got to count the rings on her fingers. You ready? How many? 1..., should I do it with you? That was a lot of rings, isn't it? I'll do it with you. And you tell me if I'm right. On each side. You see 1, 2, 3, 4 is the right answer?",,1,,,,,,,,,,,,,1,,1,1,,,,,,,,,,,1,,1,1,,,,,,,,,,,,,,,,,
5,53:38:00,A2-3,L2-2,Child,uhhuh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,53:42:00,A2-3,L2-2,Parent,"Okay, how about the side? How many is that? Can you do it with me? 1 whats after ? 2, 3, 4. That's like, my fingers. How many would that be? 1, 2, 3, 4. That's gonna repeat her question. You can try it and see what happens.",,1,,,,,,,,,,,,,1,,1,1,,,1,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,
5,54:29:00,A2-3,L2-2,Robot,Can you count how many sticker rings grandma has on her fingers?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,54:33:00,A2-3,L2-2,Parent,So we said that there's 4 on each finger. If my mommy's fingers are those How many is this? Ready?,,1,,,,,,,,,,,4,,1,,,1,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,
5,54:38:00,A2-3,L2-2,Child,1,,,,,,,,,1,1,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,54:39:00,A2-3,L2-2,Parent,"1, 2, 3. what comes after 3?",,1,,,,,,,,,,,3,1,,,1,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
5,55:38:00,A2-3,L3-1,Robot,What do they have more of on the table? Eggs or fries?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,55:45:00,A2-3,L3-1,Parent,I just want you I'm sorry. Do they have more eggs or more fries?,,1,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
5,55:49:00,A2-3,L3-1,Child,More fries.,,,,,,,,,1,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,55:50:00,A2-3,L3-1,Parent,"More fries. Press the button, press it again. I don't think she felt your push. Let's try the hand that you're not putting in your mouth.",,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,56:05:00,A2-3,L3-1,Robot,There are more fries than eggs.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,59:16:00,A2-3,L4-1,Robot,"If grandma wants to put 2 more blankets on, how many blankets would she have?",,,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,59:22:00,A2-3,L4-1,Parent,If she's gonna put 2 more she already has 1. And if she puts 2 more on how many will she have?,,1,,,,,,,,,,,2,1,,,,,,,,1,,,,,,,1,,,,,1,,,,,,,,,,,,,,,
5,59:28:00,A2-3,L4-1,Child,I don't know.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,59:30:00,A2-3,L4-1,Parent,You want to push the button? You want to ask her to repeat the question?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,59:35:00,A2-3,L4-1,Robot,"If grandma wants to put 2 more blankets on, how many blankets would she have?",,,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,59:41:00,A2-3,L4-1,Parent,So she's got 1 blankie one and she's gonna put 2 more on how many is that?,,1,,,,,,,,,,,2,1,,,,,,,,1,,,,,,,1,,,,,1,,,,,,,,,,,,,,,
5,59:48:00,A2-3,L4-1,Parent & Child,"1, 2, 3",,1,,,,,,,1,,1,,3,1,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
5,59:54:00,A2-3,L4-1,Parent,"You got it. Its 3. All right, so the first step up",,1,,,,,,,,,,,3,1,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
5,1:00:03,A2-3,L4-1,Robot,She would be having 3 blankets on.,,,,,,,,,,,,,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1:16:06,A2-2,L1-1,Robot,Can you count the number of houses?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1:16:09,A2-2,L1-1,Parent,How many houses are there?,,1,,,,,,,,,,,,1,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
5,1:16:10,A2-2,L1-1,Child,2,,,,,,,,,1,,1,,2,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1:16:13,A2-2,L1-1,Parent,"Hey, press your button to see if she agrees with you.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1:16:19,A2-2,L1-1,Robot,"1, 2. I see two different colors of houses.",,,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1:17:50,A2-2,L2-1,Robot,Can you count the number of friends Pete has had at the party?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1:17:53,A2-2,L2-1,Parent,"How many friends does Pete Well first of all, where's Pete? There Okay, so how many friends are there? Should we count together or you want to do it yourself?",,1,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1:18:03,A2-2,L2-1,Child,you do it,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1:18:05,A2-2,L2-1,Parent,"I'll do it with you. Ready? I need your help. 1, 2, are you getting tired three. Oh, you know what comes after 3.",,1,,,,1,,1,,,,,3,1,,,1,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
5,1:18:19,A2-2,L2-1,Child,Im no tired,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1:18:21,A2-2,L2-1,Parent,You not tired? How many is that? 4 and?,,1,,,,,,,,,,,4,,1,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
5,1:29:41,A2-2,L3-3,Robot,Which one of petes friends is 3rd on the bus.,,,,,,,,,,,,,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1:29:44,A2-2,L3-3,Parent,"Oh. 3rd, which one is sitting in the 3rd spot? You know? That's so pete is 1st. Do you know what 3rd means? So you're the 3rd child. So [sibling names] was 3rd. So who's the 3rd friend?",,1,,,,,,,,,,,3,1,,,,,,,1,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,
5,1:30:15,A2-2,L3-3,Child,I don't know.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1:30:15,A2-2,L3-3,Parent,"You don't know. Would you like me to help you? Okay, so 1st, 2nd, and 3rd. Does that makes sense? See what Misty say?",,1,,,,,,,,,,,3,1,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
5,1:30:32,A2-2,L3-3,Child,Misty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
