ID,Timestamp,Conversation,We ,Speaker,Utterance,[parent] Read material content,[parent] Scaffolding (+orange) (+blue),[parent] Extended comments/questions (math) (+blue),[parent] Extended comments/questions (literacy),[parent] Extended comments/questions (personal),[parent] Check child's needs,[parent] Redirect child attention,[parent] Encourage child engagement,[child] comment/question/response (math) (+blue) (+green),[child] neutral response,[child] correct response,[child] incorrect response,Please fill in the greatest numeral magnitude involved in the utterance.,<4,4 - 10 (inclusive),> 10,Structured Counting,Cardinality ,Counting subsets,Set Comparison ,Number Order ,Story Problem (addition),Story Problem (subtraction),Math language,Promotion of Independence,Prompt after error,Correction/Disaffirmation,Affirmation,Inquiry of information,Hint,Modeling,Instruction,Re-representation,Explanation,Physical support,,,,,,,,,,,,,,
6,25:51:00,A2-1,,Robot,[A2 - 2nd try] Hello. It's so nice to meet you. I'm looking forward to spending time with you my friends UW Madison prepared a booklet so I can teach you what I can do. One thing you need to know about me is that I sometimes have difficulty understanding what you say. So the best way to communicate with me is through some special tags can you first show me the special tag on the back of the book named read with Misty. perfect now you know how to let me know which book you want to read. You can start reading the book named read with Misty to me,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,26:51:00,A2-1,,Parent,This is misty Misty loves to read books with our friends. Misty has a thought to share throw this show this tag to Misty now,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
6,27:08:00,A2-1,,Robot,How many cats can you see on the bottom of this page,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,27:11:00,A2-1,,Child,3,,,,,,,,,1,,1,,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,27:20:00,A2-1,,Robot,I can see 3 cats there.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,27:25:00,A2-1,,Parent,Misty has another thought to share show this tag to misty now,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
6,27:33:00,A2-1,,Robot,Would you like to start reading together?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,27:36:00,A2-1,,Child,No. I wanna stay here,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,27:51:00,A2-1,,Robot,Would you like to start reading together?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,27:55:00,A2-1,,Child,No,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,27:57:00,A2-1,,Parent,Just say yes,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
6,28:03:00,A2-1,,Child,Yes.,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,28:10:00,A2-1,,Robot,"Great. You can check out how to pause, continue and quit on page number eight. Now that you know how to interact with me, we can read another book.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,28:21:00,A2-1,,Parent,"All right, let's see. Okay.",,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,28:26:00,A2-3,,Robot,"[A2-3] What book would you like to read? Okay, or you can show me tag when you decided. You want to read how to babysitter Grandma?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,28:41:00,A2-3,,Parent,Yes. Yes.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
6,28:45:00,A2-3,L1-1,Robot,Let's begin reading. Can you count the number of bees flying by the flowers?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,29:02:00,A2-3,L1-1,Child,I dont wanna count.,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,29:04:00,A2-3,L1-1,Parent,Just pretend please. Be serious,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,29:14:00,A2-3,L1-1,Child,"1, 2.",,,,,,,,,1,,1,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,29:18:00,A2-3,L1-1,Parent,2. I see 2 bees as well. Great job,,1,,,,,,,,,,,2,1,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,
6,29:31:00,A2-3,L1-2,Robot,How many bows are there in the little girl's hair?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,29:35:00,A2-3,L1-2,Child,2,,,,,,,,,1,,1,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,29:38:00,A2-3,L1-2,Robot,There are two red bows.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,29:41:00,A2-3,,Researcher,"Just to clarify here like you can actually read. Yeah, you don't have to like always just scan the tag and read as naturally as you want.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,29:50:00,A2-3,,Parent,"So if your mom and dad go by and say don't be sad, I'll be home soon. Now tell you all the fun things you have planned. As the babysitter you need to hurt you. Of course shell want to...",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,30:04:00,A2-3,L2-1,Robot,How many times did the little girls that go to the park?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,30:09:00,A2-3,L2-1,Parent,"Go to the park, go to the park, go to the park, go to the park, so go to the park, 1, 2, 3...",,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,
6,30:18:00,A2-3,L2-1,Child,"go to park 4, go to park 5, so 5 times",,,,,,,,,1,,1,,5,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,30:25:00,A2-3,L2-1,Robot,The little girl said go to the park for 5 times.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,30:30:00,A2-3,,Parent,Go to the park what we do at the park you slide on the side and the twirly side if she's really really tall a slight push your grandma on the swing but not too high. Remind her to pump her legs we didn't show her how to help the shy duck get some food don't forget good babysitters always say five minutes before it's time to go.,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,30:54:00,A2-3,L1-3,Robot,How many ducks have green necks?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,30:56:00,A2-3,L1-3,Parent,How many green necks?,,1,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,
6,31:05:00,A2-3,L1-3,Child,"1, 2, 3.",,,,,,,,,1,,1,,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,31:13:00,A2-3,L1-3,Robot,There could be 3 or 4 because one duck was underwater. I wonder what color its neck might be,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,31:19:00,A2-3,L1-3,Child,Me too,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,31:23:00,A2-3,,Parent,This is some fun more fun if your grandma likes fancy things decorate ribbons decorate her with ribbons posters then shout tada!,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,31:38:00,A2-3,L2-2,Robot,Can you count the number of orange beads you can see in grandma's hair?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,31:42:00,A2-3,L2-2,Parent,You see the number of orange beads you see grandma's hair. You see the number of orange beads you see grandma's hair,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,
6,32:00:00,A2-3,L2-2,Child,"1, 2, 3, 4, 5, 6, 7, 8",,,,,,,,,1,,1,,8,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,32:06:00,A2-3,L2-2,Parent,8,,1,,,,,,,,,,,8,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
6,32:07:00,A2-3,L2-2,Child,8,,,,,,,,,1,,1,,8,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,32:09:00,A2-3,L2-2,Robot,Spot on. You can see there are 8 orange beads.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,32:15:00,A2-3,,Parent,"Okay, so this is some say grandma may be getting a good cook. But share your tricks to make everything taste even yummier",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,32:23:00,A2-3,,Child,Why you put sprinkles on?,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,32:26:00,A2-3,L3-1,Robot,"What do they have more of on the table, sausages or cupcakes?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,32:30:00,A2-3,L3-1,Parent,They have more of sausages or cupcakes?,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,
6,32:37:00,A2-3,L3-1,Child,Sausages,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,32:41:00,A2-3,L3-1,Robot,There are more sausages than cupcakes.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,32:46:00,A2-3,,Parent,"When it starts to get dark, take your grandma outside to find the first star",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,32:55:00,A2-3,L2-3,Robot,How many dark green trees do you see over the fence?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,32:58:00,A2-3,L2-3,Parent,How many trees do you see over that fence?,,1,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
6,33:01:00,A2-3,L2-3,Child,"1, 2, 3, 4, 5, 6. 6.",,,,,,,,,1,,1,,6,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,33:08:00,A2-3,L2-3,Robot,There are 6 of them. They look very tall.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,33:13:00,A2-3,,Parent,Back inside snuggle up and read some books turn the pages slowly so she can find everything in the pictures. That's your grandmas stories about when your mom was a teach her to say I love you without making a sound,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,33:28:00,A2-3,L3-2,Robot,It took three steps to say I love you without making a sound. What number comes after 3?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,33:36:00,A2-3,L3-2,Child,4,,,,,,,,,1,,1,,4,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,33:39:00,A2-3,L3-2,Robot,number 4 comes after 3.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,33:43:00,A2-3,,Parent,"Now let your grandma choose where she wants to sleep. In the tent, on the couch, in a bed, in a big bed, If she asks should we leave the nightlight on the hall light on the door open? You have to...Yep yep yep",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,34:01:00,A2-3,L4-1,Robot,If mom and dad came over and joined the girl and grandma how many people would there be?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,34:07:00,A2-3,L4-1,Parent,How many peopel? If the mom and the dad can join.,,1,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,1,,,,,,,,,,,,,,,
6,34:12:00,A2-3,L4-1,Child,4. 4!,,,,,,,,,1,,1,,4,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,34:21:00,A2-3,L4-1,Robot,There would be 4 people in total.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,34:25:00,A2-3,,Parent,Once you're both tucked in make shadow puppets have your shadow foxes kiss goodnight. If she's missing her mom and dad will both be here tomorrow bright and early,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,34:38:00,A2-3,L3-3,Robot,Can you see the 8 fingers in the shadow? What number comes before 8?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,34:43:00,A2-3,L3-3,Child,9,,,,,,,,,1,,,1,9,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,34:44:00,A2-3,L3-3,Parent,Before,,1,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,
6,34:46:00,A2-3,L3-3,Child,I dont know,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,34:58:00,A2-3,L3-3,Parent,We just said it,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
6,35:08:00,A2-3,L3-3,Child,"1, 2, 3, 4, 5, 6, 7, 8. 7, 7, 7!",,,,,,,,,1,,1,,7,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,35:18:00,A2-3,L3-3,Robot,7 comes before 8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,35:22:00,A2-3,,Parent,In the morning when you hear enough open the door dressed as twins!,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,35:27:00,A2-3,,Child,Why do they dress like twins?,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,35:31:00,A2-3,L4-2,Robot,If we had 2 more flowers on grandma's hat how many flowers would there be in total?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,35:37:00,A2-3,L4-2,Parent,How many are there do you see? Count them.,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
6,35:43:00,A2-3,L4-2,Child,4,,,,,,,,,4,,,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,35:44:00,A2-3,L4-2,Parent,2 more,,1,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,1,,,,,,,,,,,,,,,,,,,
6,35:50:00,A2-3,L4-2,Child,6,,,,,,,,,6,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,35:53:00,A2-3,L4-2,Robot,There would be 6 flowers in total.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,35:56:00,A2-3,,Parent,"After all packed up winter break after effect up comes the hard part goodbye. its hard to say goodbye to grandma the letter has sprinkles and mugs, stickers and ribbon say I love you without making a song give her a big hug and ask can I babysit you again because the little girls",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,36:11:00,A2-3,L4-3,Robot,"If grandma gave each mom and dad a hug after hugging the girl, how many hugs has she given?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,36:20:00,A2-3,L4-3,Parent,How many hugs would that be?,,1,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,
6,36:22:00,A2-3,L4-3,Child,3 hugs. Next Book!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,36:35:00,A2-3,L4-3,Robot,Grandma would have given 3 hugs. That's the end of the book. Great job.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,36:44:00,A2-3,,Child,Let's join us Why,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,36:47:00,A2-3,,Robot,Do you want to read another book today?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,36:49:00,A2-3,,Child,Yes.,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,36:50:00,A2-2,,Robot,[A2-2] What book do you want to read? Just show me the tag on the back of it when you're ready. You want to read Pete the Cat and the perfect pizza party?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,37:15:00,A2-2,,Child,Yes. Yes.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,37:22:00,A2-2,,Robot,Let's start reading.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,37:26:00,A2-2,,Parent,Pete the cat loves pizza pete the cat loves parties too pete had an idea of what he could do.,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,37:37:00,A2-2,L1-1,Robot,Can you count the number of houses?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,37:39:00,A2-2,L1-1,Parent,How many houses are there?,,1,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,
6,37:41:00,A2-2,L1-1,Child,"1, 2. 2, can I press it?",,,,,,,,,1,,1,,2,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,37:46:00,A2-2,L1-1,Robot,"1, 2, I see 2 different colors of houses.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,37:53:00,A2-2,,Parent,He would have the perfect pizza party.,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,37:57:00,A2-2,,Child,Can I do it?,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,37:59:00,A2-2,L1-2,Robot,Can you can you count the number of animals having whiskers on the page?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,38:03:00,A2-2,L1-2,Parent,"Whiskers? So how many, how many animals?",,1,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,
6,38:08:00,A2-2,L1-2,Child,1,,,,,,,,,1,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,38:12:00,A2-2,L1-2,Parent,Make sure to press it until the green comes on. Good job.,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,38:15:00,A2-2,L1-2,Robot,Between the duck and peach. Only Pete has whiskers.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,38:21:00,A2-2,,Parent,Petes friends all arrived it was time to build the perfect pizza together. That will make the pizza even better. Pizza the perfect pizza with pepperoni with extra cheese,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,38:33:00,A2-2,L2-1,Robot,Can you count the number of friends Pete has at his party?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,38:36:00,A2-2,L2-1,Parent,How many friends are at his party?,,1,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,
6,38:38:00,A2-2,L2-1,Child,"1, 2, 3, 4, 5",,,,,,,,,1,,1,,5,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,38:46:00,A2-2,L2-1,Robot,Pete has 5 friends who showed up to the party. That is so nice of them.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,38:52:00,A2-2,,Parent,It's a party party pepperoni pizza party. Everyone did not agree.,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,39:01:00,A2-2,L1-3,Robot,how many of Pete's friends are not green?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,39:05:00,A2-2,L1-3,Parent,How many are not green?,,1,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
6,39:09:00,A2-2,L1-3,Child,"1, 2, 3, 4",,,,,,,,,1,,,1,4,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,39:11:00,A2-2,L1-3,Parent,"no, not green.",,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
6,39:13:00,A2-2,L1-3,Child,All green?.,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
