Timestamp,Speaker,Utterance,[parent] Read material content,[parent] Scaffolding (+orange) (+blue),[parent] Extended comments/questions (math) (+blue),[parent] Extended comments/questions (literacy),[parent] Extended comments/questions (personal),[parent] Check child's needs,[parent] Redirect child attention,[parent] Encourage child engagement,[child] comment/question/response (math) (+blue) (+green),[child] neutral response,[child] correct response,[child] incorrect response,Please fill in the greatest numeral magnitude involved in the utterance.,<4,4 - 10 (inclusive),> 10,Structured Counting,Cardinality ,Counting subsets,Set Comparison ,Number Order ,Story Problem (addition),Story Problem (subtraction),Math language,Promotion of Independence,Prompt after error,Correction/Disaffirmation,Affirmation,Inquiry of information,Hint,Modeling,Instruction,Re-representation,Explanation,Physical support,,,,,,,,,,,,,,
37:50:00,Robot,It's so nice to meet you. I'm looking forward to spending time with you my friends at UW Madison prepared a booklet so that I can do as she's from one thing you need to know about me is that I sometimes have difficulty understanding what you say. So the best way to communicate with me is through some special tags can you first show me the special tag on the back of the book named read with Misty. Perfect now you can let me know which book you want to read. You can start reading the book named read with Misty to me.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38:35:00,Child,[mumble],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38:38:00,Parent,"Okay, but you have to be really. Okay read with misty. Oh so we were right here in the cats page. Let's see remember the page is the cats. So we have to show Missy the cats and see here Misty.",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
38:50:00,Robot,How many cats can you see on the bottom of this page?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38:55:00,Parent,Do you want to answer a question [child]? What did she say? She said...what did she say? Oh should we ask her again? Say repeat Misty,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39:12:00,Child,green,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39:13:00,Parent,Oh her light turned green that's the for to answer answer again. Well remember what did she ask us?,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
39:25:00,Child,We know that green,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39:27:00,Robot,I can see 3 cats there.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39:29:00,Parent,"She said three cats 1, 2, 3",,1,,,,,,,,,,,3,1,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
39:34:00,Child,Let's dive [mumbles],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39:41:00,Parent,Right she has a lot of cool things,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
