ID,Timestamp,Conversation,Question bookmark,Speaker,Utterance,[parent] Read material content,[parent] Scaffolding (+orange) (+blue),[parent] Extended comments/questions (math) (+blue),[parent] Extended comments/questions (literacy),[parent] Extended comments/questions (personal),[parent] Check child's needs,[parent] Redirect child attention,[parent] Encourage child engagement,[child] comment/question/response (math) (+blue) (+green),[child] neutral response,[child] correct response,[child] incorrect response,Please fill in the greatest numeral magnitude involved in the utterance.,<4,4 - 10 (inclusive),> 10,Structured Counting,Cardinality ,Counting subsets,Set Comparison ,Number Order ,Story Problem (addition),Story Problem (subtraction),Math language,Promotion of Independence,Prompt after error,Correction/Disaffirmation,Affirmation,Inquiry of information,Hint,Modeling,Instruction,Re-representation,Explanation,Physical support,,,,,,,,,,,,,,
9,22:54,A2-1,,Robot,My friends at UW Madison prepared a booklet so I can teach you what I can do. One thing you need to know about me is that I sometimes have difficulty understanding what you say. So the best way to communicate with me is through some special tags can you first show me the special tag on the back of the book named read with Misty. Perfect now you know how to let me know which book you want to read you can start reading the book named read with Misty to me,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,23:31,A2-1,,Parent,"Read with Misty. This is misty. the robot says hi. did the robot say hi to us? Misty loves to read books with friends Misty has a thought to share, show Misty this tag. Do you want to show it?hold it up",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,23:59,A2-1,,Robot,How many cats can you see on the bottom of this page?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,24:04:00,A2-1,,Child,Four.,,,,,,,,,1,,,1,4,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,24:04:00,A2-1,,Parent,Can you count again?,,1,,,,,,,,,,,3,1,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
9,24:06:00,A2-1,,Child,"1,2,3.",,,,,,,,,1,,1,,3,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,24:07:00,A2-1,,Parent,"Yeah, three to hear Misty's response to the question press answer",,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,
9,24:16:00,A2-1,,Researcher,"A little harder until you see the green light that means Yeah, that means you got it",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0:22,A2-1,,Robot,I can see three cats there,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0:29,A2-1,,Parent,Misty has another thought to share show Misty this tag now. Do you want to show it and hold it up,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
9,0:41,A2-1,,Robot,Would you like to start reading together?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,24:47:00,A2-1,,Parent,"Oh and we can, to tell Misty to repeat. Press the front right bumper",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
9,24:58:00,A2-1,,Robot,Would you like to start with Reading together?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,25:02:00,A2-1,,Parent,Do you want to start reading? We'll say yes.,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,25:10:00,A2-1,,Robot,"Great, you can check out how to pause, continue and quit on page number eight. Now that you know how to interact with me, we can read another book.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,25:20:00,A2-1,,Parent,"If you'd like to press to pause, press the right bumper.",,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,25:25:00,A2-1,,Researcher,You probably wouldn't need this so it's no worries.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,25:29:00,,,Parent,To continue and equip okay let's read together should we read Pete the cat and the perfect pizza party and there's a tag here so that we can show Misty what book we're going to read you want to show it?,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,25:46:00,,,Researcher,So you have to show the back oh the back bumpers.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,26:07:00,,,Parent,Got a yellow light.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,26:08:00,,,Researcher,Got some problems?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,26:11:00,,,Parent,"Did Misty fall asleep on us no, you don't think so? Oh, and disease come back.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,26:26:00,,,Researcher,Oh my god. I guess we might need to restart it again. I'm so sorry.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,26:32:00,,,Robot,What book would you like to read? You can show me the tag on its back when you've decided. You want to read Pete the cat and the perfect pizza party.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,26:46:00,,,Parent,"Yes, yes.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,26:50:00,,,Robot,We can begin reading now.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,26:52:00,A2-2,,Parent,Okay. Pete the cat and the perfect pizza party by Kimberly and James Dean. Pete the cat loves pizza. Pete the cat loves parties too Pete had an idea of what he could do. He would have the perfect pizza party. You're invited to Pete's pizza party? Fun music games.Bring your swimsuit?Why do you think they're gonna have a swimsuit?,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,27:30:00,A2-2,,Child,Cause it's a pool party.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,27:32:00,A2-2,,Parent,Yeah. Pete's friends all arrived. It was time to build the perfect pizza together. That would make the pizza even better. Pete thought the perfect pizza would be pepperoni with extra cheese. Do you like pepperoni?,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,27:49:00,A2-2,,Researcher,And those Tags are showable if you want to.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,27:53:00,A2-2,,Parent,"Oh, okay. Let's show Misty this tag and see what happens.",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
9,28:00:00,A2-2,L1-3,Robot,How many of Pete's friends are green out of all his friends?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
