ID,Timestamp,Conversation,Question bookmark,Speaker,Utterance,[parent] Read material content,[parent] Scaffolding (+orange) (+blue),[parent] Extended comments/questions (math) (+blue),[parent] Extended comments/questions (literacy),[parent] Extended comments/questions (personal),[parent] Check child's needs,[parent] Redirect child attention,[parent] Encourage child engagement,[child] comment/question/response (math) (+blue) (+green),[child] neutral response,[child] correct response,[child] incorrect response,Please fill in the greatest numeral magnitude involved in the utterance.,<4,4 - 10 (inclusive),> 10,Structured Counting,Cardinality ,Counting subsets,Set Comparison ,Number Order ,Story Problem (addition),Story Problem (subtraction),Math language,Promotion of Independence,Prompt after error,Correction/Disaffirmation,Affirmation,Inquiry of information,Hint,Modeling,Instruction,Re-representation,Explanation,Physical support,,,,
10,20:28,A2-1,,Robot,Hi it's so nice to meet you. I'm looking forward to spending time with you my friends at UW Madison prepared a booklet so I can teach you what I can do. One thing you need to know about me is that I sometimes have difficulty understanding what you say. So the best way to communicate with me is through some special tags can you first show me the special tag on the back of the book named read with Misty. perfect now you know how to let me know which book you want to read you can start reading the book named read with Misty to me,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,21:38,A2-1,,Parent,I'm doing the reading,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,21:39,A2-1,,Researcher,yes you can do the reading okay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,21:42,A2-1,,Parent,read with Misty is that you and Misty?,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,21:46,A2-1,,Child,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,21:48,A2-1,,Parent,this is misty Hi Misty loves to read books with friends  Misty has taught to share has a thought to share show the tape to Misty What do you think this is gonna be,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,22:17,A2-1,,Robot,how many caps can you see on the bottom of this page,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,22:21,A2-1,,Child,3,,,,,,,,,1,,1,,3,1,,,1,,,,,,,,,,,,,,,,,,,,,,
10,22:27,A2-1,,Parent,"to hear mistys response to the question press answer. Okay, now tell her",1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,22:33,,,Researcher,"you can you can press a little harder until it turns green just check the Wi Fi because sometimes networks not really working. Okay. Yeah, and so this book is basically a tutorial to get you to know how to interact and communicate with Misty Okay, and then when we get to the book, you can basically read as naturally or normally as you want, but then just just having the awareness and these features in mind that they're available for you to use but there's no right or wrong way to interact with Misty just any way that you're more comfortable with. Sounds cool.Yeah, I'm trying to test if it's the network's problem was a problem with the tag we can potentially restart it",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,23:57,,,Parent,with a different app Can you hook it to our hotspot or anything? It's wired into our,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,24:07:00,,,Researcher,wait for one minute and then we'll get rebooted sorry about no worries. It's still in the very early stage of development. So using what we have here and try to explore the idea see. What about adding this one,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,24:38:00,,,Parent,there's 2 mistys over here and 1 misty over there. How many mysteries are there,,,1,,,,,,,,,,2,1,,,1,,,,,,,,,,,,,,,,,,,,,,
10,24:42:00,,,Child,"1, 2, 3",,,,,,,,,1,1,,,3,1,,,1,,,,,,,,,,,,,,,,,,,,,,
10,24:47:00,,,Parent,"you don't think they're all the same? Sorry, I got you water and left on the counter and then didn't give it to you just realize that Well, I think we better wait until mistys gonna work We like that book who gave you that book?",,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,25:09:00,,,Child,Grandma Grandma gave us that book,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,25:11:00,,,Researcher,Oh really? Yeah it's interesting grandma asked you to babysit her yeah. very good we say he went to the bathroom take a little break Misty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,25:35:00,,,Child,Misty go potty.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,25:37:00,,,Researcher,Go potty  could be just a give me one minute I'll go potty and I'll come back right after that. That's a very fast potty.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,25:47:00,,,Parent,Maybe hes taking a nap. Nap time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,25:51:00,,,Researcher,"Oh, it was a little tired from the party. That's too hard I guess that's gonna wake up to read with you later what that and oh",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
