ID,Timestamp,Conversation,Question bookmark,Speaker,Utterance,[parent] Read material content,[parent] Scaffolding (+orange) (+blue),[parent] Extended comments/questions (math) (+blue),[parent] Extended comments/questions (literacy),[parent] Extended comments/questions (personal),[parent] Check child's needs,[parent] Redirect child attention,[parent] Encourage child engagement,[child] comment/question/response (math) (+blue) (+green),[child] neutral response,[child] correct response,[child] incorrect response,Please fill in the greatest numeral magnitude involved in the utterance.,<4,4 - 10 (inclusive),> 10,Structured Counting,Cardinality ,Counting subsets,Set Comparison ,Number Order ,Story Problem (addition),Story Problem (subtraction),Math language,Promotion of Independence,Prompt after error,Correction/Disaffirmation,Affirmation,Inquiry of information,Hint,Modeling,Instruction,Re-representation,Explanation,Physical support,,,,
10,46:09:00,A2-2,L2-2,Robot,How many animals are wearing a hat?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,46:11:00,A2-2,L2-2,Child,"1, 2, 3, 4, 4 animals",,,,,,,,,1,,,1,4,,1,,1,1,,,,,,,,,,,,,,,,,,,,,
10,46:21:00,A2-2,L2-2,Robot,there are 6 animals wearing a hat.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,46:25:00,A2-2,L2-2,Parent,"Yeah, can you find the ones you missed?",,1,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,
10,46:26:00,A2-2,L2-2,Child,"1, 2, 3, 4, 5, 6.",,,,,,,,,1,,1,,6,,1,,1,1,,,,,,,,,,,,,,,,,,,,,
10,51:54:00,A2-2,L3-3,Robot,Pete and his friends have 6 balloons. What number comes after 6?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,52:03:00,A2-2,L3-3,Child,I don't know.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,52:06:00,A2-2,L3-3,Parent,"Well, let's count and see what the next number would be.",,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
10,52:09:00,A2-2,L3-3,Child,"1, 2, 3, 4, 5, 6, 7",,,,,,,,,1,,1,,7,,1,,1,,,,1,,,,,,,,,,,,,,,,,,
10,52:16:00,A2-2,L3-3,Robot,"if there was 1 more than 6 balloons, there would be 7 balloons.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,58:00:00,A2-3,L1-2,Robot,How many bows are there in the little girl's hair?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,58:06:00,A2-3,L1-2,Child,2,,,,,,,,,1,,1,,2,1,,,,1,,,,,,,,,,,,,,,,,,,,,
10,58:07:00,A2-3,L1-2,Parent,Touch one screen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,58:09:00,A2-3,L1-2,Child,2,,,,,,,,,1,,1,,2,1,,,,1,,,,,,,,,,,,,,,,,,,,,
10,58:12:00,A2-3,L1-2,Robot,there are 2 red bows.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1:05:04,A2-3,L4-2,Robot,two more flowers on grandma's hat. How many flowers would there be in total?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1:05:10,A2-3,L4-2,Parent,They want to add 2 more. Can you count how many flowers before there were 2 more? There'll be no you don't take away we want to do adding,,1,,,,,,,,,,,,,1,,1,,,,,1,,,,,,,1,,,,,1,,,,,
10,1:05:19,A2-3,L4-2,Child,3,,,,,,,,,1,,,1,3,1,,,,,,,,1,,,,,,,,,,,,,,,,,
10,1:05:20,A2-3,L4-2,Parent,Lets count them,,1,,,,,,,,,,,,,,,1,,,,,1,,,,1,,,,,,1,,,,,,,
10,1:05:21,A2-3,L4-2,Parent & Child,"1, 2, 3, 4, 5, 6",,1,,,,,,,1,,1,,6,,1,,1,,,,,1,,,,,,,,,1,,,,,,,,
10,1:05:29,A2-3,L4-2,Parent,because this will be adding two more. So if we added two more on the hat how many flowers will there be?,,1,,,,,,,,,,,,,1,,,,,,,1,,,1,,,,,1,,,,,,,,,
10,1:05:39,A2-3,L4-2,Parent & Child,"5, 6 Press the button",,1,,,,,,,1,,1,,6,,1,,1,,,,,,,,,,,,,,1,,,,,,,,
10,1:05:46,A2-3,L4-2,Robot,there would be 6 flowers in total.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
