ID,Timestamp,Conversation,Question Bookmark,Speaker,Utterance,[parent] Read material content,[parent] Scaffolding (+orange) (+blue),[parent] Extended comments/questions (math) (+blue),[parent] Extended comments/questions (literacy),[parent] Extended comments/questions (personal),[parent] Check child's needs,[parent] Redirect child attention,[parent] Encourage child engagement,[child] comment/question/response (math) (+blue) (+green),[child] neutral response,[child] correct response,[child] incorrect response,Please fill in the greatest numeral magnitude involved in the utterance.,<4,4 - 10 (inclusive),> 10,Structured Counting,Cardinality ,Counting subsets,Set Comparison ,Number Order ,Story Problem (addition),Story Problem (subtraction),Math language,Promotion of Independence,Prompt after error,Correction/Disaffirmation,Affirmation,Inquiry of information,Hint,Modeling,Instruction,Re-representation,Explanation,Physical support,
11,17:53,A2-1,,Robot,It's so nice to meet you. I'm looking forward to spending time with you.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,17:59,A2-1,,Parent,"To us, thank you. What shall we do",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,18:02,A2-1,,Robot,my friends at UW Madison prepared a booklet so I can teach you what I can do. One thing you need to know about me is that I sometimes have difficulty understanding what you say so the best way to communicate with me is through some special tags can you first show me the special tag on the back of the book named read with Misty. perfect now you know how to let me know which book you want to read you can start reading the book named read with Misty to me,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,18:38,A2-1,,Parent,read with Misty. This is misty Hi Misty loves to read books with friends Misty has a thought to share show this tag to Misty now I thought what are you thinking about,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,19:04,A2-1,,Robot,how many cats can you see on the bottom of this page?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,19:08,A2-1,,Parent,I see three How many do you see? To hear Mistys response to the question press answer press the left front bumper now,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,
11,19:21,A2-1,,Researcher,press a little harder and longer. Yeah and wait till you see the green that means you got it.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,19:26,A2-1,,Robot,I can see three cats there.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,19:29,A2-1,,Parent,We all thought there were three. I guess we were right. Misty has another thought to share. Show this tag to Misty now.,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
11,19:39,A2-1,,Robot,Would you like to start reading together?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,19:41,A2-1,,Parent,"Yes, please. To tell Misty to repeat. Press the right front bumper. Yeah, push that one.",,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,19:53,A2-1,,Robot,Would you like to start reading together?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,19:56,A2-1,,Parent & Child,Yes.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,19:57,A2-1,,Parent,"Okay, push that one. That's the one we push when the Answer is yes.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,20:03,A2-1,,Robot,"Great, you can check out how to pause, continue and quit on page number eight. Now that you know how to interact with me, we can read another book.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,20:14,,,Parent,Let's do it. Can we choose?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,20:16,,,Researcher,Yes.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,20:17,A2-2,,Parent,Let's see. Do you want to read Pete the cat and the,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,20:20,A2-2,,Robot,What book do you want to read? Just show me the tag on the back of it when you're ready. you want to read Pete the cat and the perfect pizza party?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,20:36,A2-2,,Parent,Do push the Yes button please.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,20:44,A2-2,,Robot,We can begin reading now.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,20:47,A2-2,,Parent,"Look at all these pizzas. Some of these don't look very tasty. A fish pizza. Ooh, I would eat that? Oh no. A smelly sock pizza, i would not eat that. cupcakes on pizza.I like Cupcakes, and I like pizza. Pete the cat loves pizza pete the cat loves parties do Pete had an idea of what he could do? What do you think about it? Robot?",1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,21:23,A2-2,L1-1,Robot,Can you count the number of trees,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,21:36,A2-2,L1-1,Child,one,,,,,,,,,1,,1,,1,1,,,,1,,,,,,,,,,,,,,,,,,
11,21:38,A2-2,L1-1,Parent,he said one,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,21:41,A2-2,L1-1,Robot,one there is one tree next to the red house.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,21:46,A2-2,,Parent,"Yeah, good job. Pete would have the perfect pizza party",,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
11,22:01,A2-2,L1-2,Robot,can you name three different colors that are on the page?,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,
11,22:07,A2-2,L1-2,Child,"Blue, Yellow Red",,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
11,22:11,A2-2,L1-2,Parent,". Yeah, got it.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,22:15,A2-2,L1-2,Robot,"Three colors that I see are yellow, blue and black.",,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,
11,22:18,A2-2,,Parent,"Oh, well, that's fine too. But I like the three you chose. It says you are invited to petes Pizza party. fun music bring your swimsuit games. Pete's friends all arrived. It was time to build the perfect pizza together. That would make the pizza even better. Pete thought the perfect pizza would be pepperoni with extra cheese. See what robot thinks",1,1,,,,,,1,,,,,3,1,,,,,,,,,,,,,,1,,,,,,,,
11,22:53,A2-2,L2-1,Robot,can you count the number of pepperonis Pete has on the pizza so far?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,22:56,A2-2,L2-1,Child,"1, 2, 3, 4, 5, 6, 7",,,,,,,,,1,,1,,7,,1,,1,1,1,,,,,,,,,,,,,,,,,
