ID,Timestamp,Conversation,Question Bookmark,Speaker,Utterance,[parent] Read material content,[parent] Scaffolding (+orange) (+blue),[parent] Extended comments/questions (math) (+blue),[parent] Extended comments/questions (literacy),[parent] Extended comments/questions (personal),[parent] Check child's needs,[parent] Redirect child attention,[parent] Encourage child engagement,[child] comment/question/response (math) (+blue) (+green),[child] neutral response,[child] correct response,[child] incorrect response,Please fill in the greatest numeral magnitude involved in the utterance.,<4,4 - 10 (inclusive),> 10,Structured Counting,Cardinality ,Counting subsets,Set Comparison ,Number Order ,Story Problem (addition),Story Problem (subtraction),Math language,Promotion of Independence,Prompt after error,Correction/Disaffirmation,Affirmation,Inquiry of information,Hint,Modeling,Instruction,Re-representation,Explanation,Physical support,
11,22:53,A2-2,L2-1,Robot,can you count the number of pepperonis Pete has on the pizza so far?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,22:56,A2-2,L2-1,Child,"1, 2, 3, 4, 5, 6, 7",,,,,,,,,1,,1,,7,,1,,1,,,,,,,,,,,,,,,,,,,
11,23:08,A2-2,L2-1,Robot,I counted seven pepperoni slices. I love pepperoni.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,23:15,A2-2,L2-1,Parent,"We likePepperoni, too. It's a party, a party, a pepperoni pizza party.",1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,25:33:00,A2-2,L3-1,Robot,I see six animals dancing on the page. What number comes after six?,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
11,25:39:00,A2-2,L3-1,Child,Seven,,,,,,,,,1,,1,,7,,1,,,,,,1,,,,,,,,,,,,,,,
11,25:45:00,A2-2,L3-1,Parent,"Yeah, you can push it.",,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
11,25:48:00,A2-2,L3-1,Robot,There are six animals on the page. The number after six would be seven.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,34:12:00,A2-3,L1-2,Robot,How many bows are there in the little girl's hair?,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,
11,34:15:00,A2-3,L1-2,Child,two,,,,,,,,,1,,1,,2,1,,,,1,,,,,,,,,,,,,,,,,,
11,34:21:00,A2-3,L1-2,Parent,"Yeah, got it again.",,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
11,34:26:00,A2-3,L1-2,Robot,There are two red bows.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,43:38:00,A2-3,L4-2,Robot,"If we remove three flowers from the girls hat, how many flowers would there be left?",,,,,,,,,,,,,3,1,,,,,,,,,1,,,,,,,,,,,,,
11,43:48:00,A2-3,L4-2,Parent,Taking away three of those flowers,,1,,,,,,,,,,,3,1,,,,,,,,,1,,,,,,,,,,,1,,
11,43:51:00,A2-3,L4-2,Child,one,,,,,,,,,1,,1,,1,1,,,,,,,,,1,,,,,,,,,,,,,
11,43:56:00,A2-3,L4-2,Robot,there would be only one flower left.,,,,,,,,,,,,,1,1,,,,,,,,,1,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
