ID,Timestamp,Conversation,Question Bookmark,Speaker,Utterance,[parent] Read material content,[parent] Scaffolding (+orange) (+blue),[parent] Extended comments/questions (math) (+blue),[parent] Extended comments/questions (literacy),[parent] Extended comments/questions (personal),[parent] Check child's needs,[parent] Redirect child attention,[parent] Encourage child engagement,[child] comment/question/response (math) (+blue) (+green),[child] neutral response,[child] correct response,[child] incorrect response,Please fill in the greatest numeral magnitude involved in the utterance.,<4,4 - 10 (inclusive),> 10,Structured Counting,Cardinality ,Counting subsets,Set Comparison ,Number Order ,Story Problem (addition),Story Problem (subtraction),Math language,Promotion of Independence,Prompt after error,Correction/Disaffirmation,Affirmation,Inquiry of information,Hint,Modeling,Instruction,Re-representation,Explanation,Physical support,,,,,,,,,,,,,,
12,23:11,A2-1,,Robot,My friends at UW Madison prepared a booklet so I can teach you what I can do. One thing you need to know about me is that I sometimes have difficulty understanding what you say. So the best way to communicate with me is through some special tags. Can you first show me the special tag on the back of the book named read with Misty?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,23:33,A2-1,,Parent,Yep. So can you show the tag on the back?,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,23:37,A2-1,,Researcher,"Yep, so um Just a heads up that this book will be out yep. Okay. I can now",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,23:42,A2-1,,Robot,"Perfect. Now you know, let me know which book you want to read. You can start reading the book named read with Misty to me.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,23:50,A2-1,,Researcher,"Okay, so this book will be a tutorial book that just demonstrate how you can interact with misty and what feature Misty has and then this Yeah, this is misty and the misty will then guide you to choose which one book you want to start first. And then I would encourage you like when you start reading, read as natural as you would at home. You will have the you have the option? Sure, you would know you have the option to use these features and you can use any way you want. But I'll encourage you to scan all the tags that you've encountered in the picture.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,24:22:00,A2-1,,Parent,"Sure. Okay. All right. So we're gonna scan the tags so are you ready? Okay, so",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,24:27:00,A2-1,,Researcher,I think you have scanned in and then you can start reading the book. I think she's already,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,24:31:00,A2-1,,Parent,"Okay, so are we good to start?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,24:32:00,A2-1,,Researcher,You're good to start,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,24:33:00,A2-1,,Parent,Okay. Read with Misty. All right. This is Misty. Hi. Misty loves to read books with friends. Oh my gosh. Misty has a thought to share. Show this tag to Misty now. Okay. So we're gonna show her the tag. Are you ready? Do you want to show her the tag?,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,25:08:00,A2-1,,Robot,How many cats can you see on the bottom of this page?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,25:13:00,A2-1,,Child,"1,2,3.",,,,,,,,,1,,1,,3,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,25:15:00,A2-1,,Parent,Wanna tell her.,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,25:17:00,A2-1,,Child,"1,2,3",,,,,,,,,1,,1,,3,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,25:18:00,A2-1,,Researcher,So the next page will help you to,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,25:21:00,A2-1,,Parent,"Oh, okay. Be helpful if I read the instructions? Hmm. Okay to hear Misty's response to the question, press answer. So this this button, press the left front bumper now",,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,25:32:00,A2-1,,Researcher,You can press harder until it turns green.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,25:40:00,A2-1,,Robot,I can see three cats there.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,25:46:00,A2-1,,Parent,Misty has another thought.,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,25:48:00,A2-1,,Robot,Would you like to start reading together?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,25:50:00,A2-1,,Researcher,I think It accidentally detect the tag.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,25:52:00,A2-1,,Parent,"Oh, sure.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,25:54:00,A2-1,,Researcher,No worries.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,25:54:00,A2-1,,Parent,Sorry. Missy has another thought to share. So we're going to show her this tag now. Ready?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,26:01:00,A2-1,,Researcher,I think because it no longer sees it. So maybe you can repeat it.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,26:09:00,A2-1,,Robot,Would you like to start reading together?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,26:15:00,A2-1,,Parent,"Okay, tell Misty Yes. press the Front Bumper.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,26:20:00,A2-1,,Researcher,Right.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,26:22:00,,,Parent,"Okay. So if you would like to pause, we can press her back",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,26:27:00,,,Robot,"Great, you can check out how to pause, continue and quit on page number eight, which is this page now that you know how to interact with me. We can read another book.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,26:38:00,,,Parent,Okay. read another book. All right. Do you want to pick another book? Looks like we got some options.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
