ID,Timestamp,Conversation,Question Bookmark,Speaker,Utterance,[parent] Read material content,[parent] Scaffolding (+orange) (+blue),[parent] Extended comments/questions (math) (+blue),[parent] Extended comments/questions (literacy),[parent] Extended comments/questions (personal),[parent] Check child's needs,[parent] Redirect child attention,[parent] Encourage child engagement,[child] comment/question/response (math) (+blue) (+green),[child] neutral response,[child] correct response,[child] incorrect response,Please fill in the greatest numeral magnitude involved in the utterance.,<4,4 - 10 (inclusive),> 10,Structured Counting,Cardinality ,Counting subsets,Set Comparison ,Number Order ,Story Problem (addition),Story Problem (subtraction),Math language,Promotion of Independence,Prompt after error,Correction/Disaffirmation,Affirmation,Inquiry of information,Hint,Modeling,Instruction,Re-representation,Explanation,Physical support,,,,,,,,,,,,,,
12,27:40:00,A2-2,L1-1,Robot,Can you count the number of houses?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,27:45:00,A2-2,L1-1,Parent,How many houses are there?,,1,,,,,,,,,,,,1,,,1,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
12,27:46:00,A2-2,L1-1,Child,"1, 2.",,,,,,,,,1,,1,,2,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,27:47:00,A2-2,L1-1,Parent,and then hit the answer button.,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,27:53:00,A2-2,L1-1,Robot,"One, two, I see two different colors of houses.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,40:01:00,A2-2,L4-4,Robot,How many friends would Pete have at his party if he invited three more friends?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,40:06:00,A2-2,L4-4,Parent,"Okay, so how many friends is Pete having this party right now?",,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
12,40:10:00,A2-2,L4-4,Parent,How many friends is Pete have at this party?,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
12,40:20:00,A2-2,L4-4,Parent,What happens if he invited three more?,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,
12,40:21:00,A2-2,L4-4,Child,516,,,,,,,,,1,1,,,6,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,40:32:00,A2-2,L4-4,Robot,"if Pete invited three more friends, there would be nine friends at the party. That is one big party. We completed the whole book do you want to read another book today? Yes. Yes, yes.",,1,,,,1,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,
12,46:17:00,A2-3,L2-2,Robot,Can you count how many sticker rings grandma has on her fingers?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,46:20:00,A2-3,L2-2,Parent,"Ooh, sticker rings.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,46:23:00,A2-3,L2-2,Child,"2, 3, 4, 5, 6, 7, 8",,,,,,,,,1,,1,,8,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,46:28:00,A2-3,L2-2,Parent,the answer button.,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,46:31:00,A2-3,L2-2,Robot,I see that she has a bring.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,48:52:00,A2-3,L3-2,Robot,It looks like there are five books. What number comes after five?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,48:57:00,A2-3,L3-2,Parent,What number comes after five?,,1,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
12,49:01:00,A2-3,L3-2,Parent,I hit the answer button. Training.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,49:07:00,A2-3,L3-2,Robot,Number six comes after five.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
