ID,Timestamp,Conversation,Question bookmark,Speaker,Utterance,[parent] Read material content,[parent] Scaffolding (+orange) (+blue; only if math-related),[parent] Extended comments/questions (math) (+blue),[parent] Extended comments/questions (literacy),[parent] Extended comments/questions (personal),[parent] Check child's needs,[parent] Redirect child attention,[parent] Encourage child engagement,[child] comment/question/response (math) (+blue) (+green),[child] neutral response,[child] correct response,[child] incorrect response,Please fill in the greatest numeral magnitude involved in the utterance.,<4,4 - 10 (inclusive),> 10,Structured Counting,Cardinality ,Counting subsets,Set Comparison ,Number Order ,Story Problem (addition),Story Problem (subtraction),Math language,Promotion of Independence,Prompt after error,Correction/Disaffirmation,Affirmation,Inquiry of information,Hint,Modeling,Instruction,Re-representation,Explanation,Physical support,
13,0:00,,,Researcher,"You actually can try to move the side. Sure. Yeah. Okay. might be easier to set up. Okay. Thank you,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0:26,,,Parent,"Ok [child]. Let's move you right here. You don't need that you can just sit in this either. Okay. Okay, thank you. here bubba. Do you want to come in this one?",,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0:48,,,Child,well you're sitting.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,1:03,,,Researcher,"ready? No, we will first start with these two pages. So we'll start with this page and this page. And we'll start off with, you can just read naturally as you want. As as if you're reading at home, as usual. And then when you're done with this page, you can flip over to this page. And then when do you think you're all done can just let me know.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,1:29,,,Parent,"So am I reading? Sorry, do I read to [child] as though or do I? Do I interact with him?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,1:35,,,Researcher,"Yeah, just whatever you are. Whatever is new at home. Yeah. With the books. Okay, if you get this book on home, what would you do?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,1:44,A1-1,L1,Parent,"Yeah. Ready? we wear pants? Which animals are wearing pants? Find your favorites. Who is sitting on the toilet? Oh my goodness. There's actually a lot. Nice. Ants in my pants. Not me. I'm wearing wellies. Oh, cuz he's not wearing pants. Who's wearing pants? Who is wearing pants?",1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,2:23,A1-1,L1,Child,Octopus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,2:24,A1-1,L2,Parent,"Those pants are those shorts is my question. greetings, the alien says how do you wear your pants? So don't forget your pants.",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,2:44,A1-1,L2,Child,I wear them on my head,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,2:48,A1-1,L3,Parent,Pull your pants up. pants keep your bottom covered. He says pant- tastic fun pants sweet these are too big. How do you wear yours? looking snappy in my nappy? Do you know nappy is?,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
13,3:16,A1-1,L3,Child,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,3:17,A1-1,L4,Parent,"It's another word for diaper, I water plants in my pants. we wear socks what are these animals wearing?",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,3:36,A1-1,L4,Child,"This guy's wearing socks, socks, socks, socks",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,3:42,A1-1,L5,Parent,Croc in a sock look at this one. Ooh smelly because its on his nose. Socks are for feet not me i'm wearing shoes. the monkey on the last page. So the same thing not me. Who is on my sock? What do you see? Do you see who's on the sock,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,4:13,A1-1,L5,Child,An octopus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,4:15,A1-1,L6,Parent,My socks are red and green. So am I turtle odd socks means they don't match their odd socks. Where has my other sock gone?,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,4:31,A1-1,L6,Child,Odd sock yeah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,4:45,A1-1,,Researcher,he's fine. We're just thinking like if [researcher] can play away with him if that's fine. Or if you think he will cry if he left you.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,4:53,A1-1,,Parent,"I think he wants to stay by me right now. That's fine. I know he's like just interact and shout Ask sausage socks. Oh wait, did you want to find this guy's sock? Where has my other sock gone? No, this is a fun book because it's more of a game than a book. Anyway, socks on socks are warm. So don't forget your socks. A lot to read anything else I",1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,5:19,A1-1,,Child,I don't wanna find socks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,5:25,,,Researcher,"Okay, the next activity is that we will still stick with these two pages, but we want the mom to ask any math related question that you can think of. When we are done with this part will flip over to the Socks part and do the same thing. Okay.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,5:43,,,Child,Oh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,5:48,,,Parent,I know.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,5:52,,,Researcher,You need a little break.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,5:53,,,Parent,"Yeah, I think so.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,5:54,,,Researcher,"Okay, that's fine.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,5:55,,,Parent,"Honey, did you need a break? Do you want to [child] look at mama? You have been doing a lot of sitting. do you need a tiny break.",,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,6:08,,,Child,Yeah.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,6:09,,,Researcher,Yeah. Go ahead.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
