ID,Timestamp,Conversation,Question bookmark,Speaker,Utterance,[parent] Scaffolding (+orange) (+blue),[parent] Extended comments/questions (math) (+blue),[parent] Extended comments/questions (literacy),[parent] Extended comments/questions (personal),[parent] Check child's needs,[parent] Redirect child attention,[parent] Encourage child engagement,[child] comment/question/response (math) (+blue) (+green),[child] neutral response,[child] correct response,[child] incorrect response,Please fill in the greatest numeral magnitude involved in the utterance.,<4,4 - 10 (inclusive),> 10,Structured Counting,Cardinality ,Counting subsets,Set Comparison ,Number Order ,Story Problem (addition),Story Problem (subtraction),Math language,Promotion of Independence,Prompt after error,Correction/Disaffirmation,Affirmation,Inquiry of information,Hint,Modeling,Instruction,Re-representation,Explanation,Physical support,
14,35:18:00,A2-1,,Robot,hello I can't wait to read with you what book would you like to read? You can show me the tag on its back when you've decided,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,35:41:00,A2-1,,Researcher,"think it skips the tutorial part. Yeah, it's kind of Yeah, it's a little weird, but I can I can walk you through this so we don't have to keep troubleshooting it. So basically this is usually a guided tutorial. Okay, just basically introduction this robots name is Misty Okay, and misty it helps to reach with friends. And then normally if it's a non tutorial mode, you will be having a chance to just show this tag to the robot. When you encounter this in the book and then this you will share some thoughts. Okay, and then you have also have the option that you can get a response to a question that or comments MSD offered, okay, you press this bumper off after scanning the tag, and then this tag will ministerial just basically asked you or would you like to start reading together? Okay. Then I finished explaining and then if you ever feel like you didn't understand the question or you want to listen the question again, okay, you can press repeat, okay. And then if you want to say yes to mistakes for example, Misty ask, Oh, do you want to start writing together and then you can press Yes to to express that you want to move on? Okay, so basically that's the everything we have here okay, inside those and then so if you want to start reading you want to scan it Yeah, you can get it and we will encourage you to read as naturally as you want as if you're reading at home and if you encounter a tag",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,37:13:00,A2-2,,Robot,you want to read Pete the cat and the perfect party you would know you,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,37:17:00,A2-2,,Researcher,have an option to get it off from the robot. You also have the option to get response from them.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,37:23:00,A2-2,,Parent,"Okay, let's read it together. Pete The Cat and the perfect pizza party so if there's ever one of those we can we can show it to Missy Pete the cat loves pizza. Pete the cat loves parties to Pete had an idea of what he could do. Do you want to show that to misty",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,37:49:00,A2-2,,Child,misty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,37:51:00,A2-2,,Researcher,so our basic the tags over here we want to show on it show it to the camera area and then oh yeah so Misty actually just asked if you want to repeat the cat so to speak in reading sorry about that.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,38:07:00,A2-2,,Robot,Can you count the number of houses so Misty got it? Did,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,38:10:00,A2-2,,Parent,you hear the question? What is what a Missy say if you didn't if you need to hear the question again you can hit repeat right there. Just one,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
14,38:20:00,A2-2,L1-1,Robot,can you count the number of houses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,38:26:00,A2-2,L1-1,Child,two,,,,,,,,1,,1,,2,1,,,1,,,,,,,,,,,,,,,,,,,
14,38:32:00,A2-2,,Parent,he would have the perfect pizza party what does the science say says you are invited to Pete's pizza party fun games music. Bring your swimsuit.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,38:43:00,A2-2,,Parent,Do you want to there's another type do you want to see what Miss dssa or make you green?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,38:48:00,A2-2,,Child,It's misty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,38:54:00,A2-2,L1-2,Robot,Can you name three different colors that are on the page?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,38:58:00,A2-2,L1-2,Child,red blue yellow,,,,,,,,1,,1,,3,1,,,1,,,,,,,,,,,,,,,,,,,
14,39:07:00,A2-2,L1-2,Parent,Pete's friends all arrived.This is Pete's pizza party. It was time to build the perfect pizza together. guy would make that that would make the pizza even better. Pizza Pete thought the perfect pizza would be pepperoni with extra cheese to do this. Yeah.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,39:33:00,A2-2,L2-1,Robot,Can you count the number of friends Pete has at his party,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,39:37:00,A2-2,L2-1,Child,"1, 2, 3, 4, 5",,,,,,,,,,,,5,,1,,1,,,,,,,,,,,,,,,,,,,
14,39:42:00,A2-2,,Parent,friends on this party it's a party a party a pepperoni pizza party.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,40:00:00,A2-2,L1-3,Robot,How many of Pete's friends are not green?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,40:06:00,A2-2,L1-3,Child,"1, 2, 3 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,40:12:00,A2-2,,Parent,"this is a fun game look at this pin the tail on the unicorn. You see he's blindfolded. And then he's gonna he can't see as to figure out where the unicorn tail goes. everyone did not agree. . Okay, Kelly said pepperoni would be just fine, but I really love pretzels on mine pretzels on pizza",,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,41:00:00,A2-2,L2-2,Robot,how many pretzels Can you see in the picture?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,41:04:00,A2-2,L2-2,Child,"1, 2, 3, 4, 5",,,,,,,,,,,,1,,1,,1,,,,,,,,,,,,,,,,,,,
14,41:10:00,A2-2,,Parent,Pete and the game were puzzled pretzel on pizza well that's something new. But maybe pretzels could be groovy too. It's a party a party a pepperoni pretzel pizza party.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,41:42:00,A2-2,L1-4,Robot,can you count the number of petes friends in the pool in an animal shaped floaty?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,41:46:00,A2-2,L1-4,Child,"1, 2, 3, 4, 5",,,,,,,,,,,,1,,1,,1,,,,,,,,,,,,,,,,,,,
14,41:57:00,A2-2,L1-4,Parent,And then I can hit this if I wanted to answer. Let's see what Misty has to say Do you want to see the answer?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,42:04:00,A2-2,L1-4,Robot,Four of petes friends are in animal shaped floaties That looks like fun.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,42:10:00,A2-2,,Parent,Oh animal shape. Do you see the difference [child]? She said animal shape? floaties. So which ones are shaped like animals? Want to count those? Just those ones? How many of you see that are shaped like animals? What about that one? Was that shaped like an animal can? Was that what she's like? You know? Is that what she's like? Yeah. Is that what she So how many do you see that are shaped like animals,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
14,42:42:00,A2-2,,Child,four,,,,,,,,1,,1,,4,,1,,1,,,,,,,,,,,,,,,,,,,
14,42:45:00,A2-2,,Robot,four of Pete's friends are an animal shaped floaties. That looks like fun.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,42:52:00,A2-2,,Parent,"Squirrel said pepperoni and pretzels would be just fine. But I really love pistachios on mine. pete and the gang we're puzzled. Huh? pistachios? Well, that's something new but maybe pistachios could be groovy too. They want to do the question",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,43:18:00,A2-2,L2-3,Robot,the alligator has some sharp teeth. Can you count the number of teeth? He has?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,43:23:00,A2-2,L2-3,Child,"1, 2, 3, 4, 5, 6, 7, 8, 9",,,,,,,,,,,1,9,,1,,1,,,,,,,,,,,,,,,,,,,
14,43:32:00,A2-2,L2-3,Parent,"think you counted one twice. Okay, let's see. What is the what",1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
14,43:35:00,A2-2,,Robot,Looks like the alligator 8. He probably has more in his mouth too.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,43:35:00,A2-2,,Parent,"You want to try counting again? Or you want to move on? Okay. It's a party, a party, a pepperoni pretzel pistachio pizza party. Oh, there all right. Is that how you think the sound goes? How would you sing the song? Now let's see. Let's see what let's see what misty has to say.",1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
14,44:17:00,A2-2,,Robot,Looks like the alligator 8. He probably has more in his mountain today.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,44:23:00,A2-2,,Parent,"Yeah, she's gotta go we gotta do this first.",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
14,44:36:00,A2-2,L3-1,Robot,we can see that there are two guitars here. What number comes after two,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,44:42:00,A2-2,L3-1,Child,3,,,,,,,,1,,1,,3,1,,,,,,,1,,,,,,,,,,,,,,,
14,44:52:00,A2-2,L3-1,Robot,Those guitars look like fun. The number three comes after two,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,45:00:00,A2-2,,Parent,"grumpy Toad said pepperoni pretzels and pistachios would be just fine, but I really love pickles on mine. Pete and the gang were puzzled pickles with their pizza. Well, that's something new that maybe pickles could be groovy too",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,45:31:00,A2-2,L2-4,Robot,how many pretzels are on the pizza now?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,45:34:00,A2-2,L2-4,Child,"1, 2, 3, 4, 5, 6. 6 Please",,,,,,,,1,,1,,6,,1,,,1,,,,,,,,,,,,,,,,,,
14,45:46:00,A2-2,L2-4,Robot,I see six pretzels on the pizza. Yummy.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,45:52:00,A2-2,,Parent,It's let's see how would the song Girl It's a party your party your pepperoni pretzels pistachio pickle pizza party.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,46:09:00,A2-2,L3-2,Robot,Are there more cats or alligators?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,46:13:00,A2-2,L3-2,Child,more cat.,,,,,,,,1,,1,,2,1,,,,,,1,,,,,,,,,,,,,,,,
14,46:14:00,A2-2,L3-2,Parent,And see how many cats do you see?,1,,,,,,,,,,,2,1,,,,1,,,,,,,,,,,1,,,,,,,
14,46:16:00,A2-2,L3-2,Child,"1, 2",,,,,,,,1,,1,,2,1,,,1,,,,,,,,,,,,,,,,,,,
14,46:17:00,A2-2,L3-2,Parent,And how many alligators Do you see?,1,,,,,,,,,,,1,1,,,,1,,,,,,,,,,,1,,,,,,,
